,event_date,country,Western,Asian,South American,counts,population_scaled,events_per_capita_scaled,gdp_per_capita_scaled,public_trust_percentage_scaled
47,2020,Greece,1,0,0,660,-0.498,0.348,-0.819,-0.445
48,2021,Greece,1,0,0,558,-0.5,0.049,-0.723,-0.415
49,2022,Greece,1,0,0,434,-0.502,-0.326,-0.703,-1.291
50,2020,Hungary,1,0,0,199,-0.512,-1.039,-0.872,-0.253
51,2021,Hungary,1,0,0,128,-0.512,-1.282,-0.778,-0.325
52,2022,Hungary,1,0,0,415,-0.513,-0.279,-0.791,-0.175
53,2020,Iceland,1,0,0,29,-0.647,0.935,0.654,0.726
54,2021,Iceland,1,0,0,28,-0.647,0.801,1.006,0.978
55,2022,Iceland,1,0,0,28,-0.646,0.738,1.176,0.264
56,2020,Ireland,1,0,0,279,-0.58,0.156,1.623,0.702
57,2021,Ireland,1,0,0,218,-0.58,-0.269,2.196,0.912
58,2022,Ireland,1,0,0,279,-0.578,0.104,2.266,0.912
59,2016,Israel,0,0,0,130,-0.529,-1.214,-0.102,-0.199
60,2017,Israel,0,0,0,289,-0.527,-0.61,0.021,-0.493
61,2018,Israel,0,0,0,390,-0.524,-0.249,0.067,-0.295
62,2019,Israel,0,0,0,427,-0.522,-0.14,0.14,0.15
63,2020,Israel,0,0,0,1221,-0.52,2.728,0.154,-0.493
64,2021,Israel,0,0,0,994,-0.517,1.84,0.414,-0.187
65,2022,Israel,0,0,0,737,-0.515,0.867,0.514,-0.187
66,2020,Italy,1,0,0,5488,0.202,1.378,-0.308,-0.577
67,2021,Italy,1,0,0,7367,0.198,2.462,-0.146,-0.703
68,2022,Italy,1,0,0,4594,0.195,0.895,-0.206,-0.703
69,2018,Japan,0,1,0,1637,1.17,-1.291,-0.028,-0.517
70,2019,Japan,0,1,0,1289,1.167,-1.383,-0.004,-0.361
71,2020,Japan,0,1,0,1515,1.162,-1.322,-0.018,-0.289
72,2021,Japan,0,1,0,1419,1.154,-1.345,-0.017,-1.081
73,2022,Japan,0,1,0,1584,1.146,-1.299,-0.233,-0.241
74,2020,Latvia,1,0,0,68,-0.625,-0.522,-0.802,-0.985
75,2021,Latvia,1,0,0,62,-0.625,-0.619,-0.701,-1.057
76,2022,Latvia,1,0,0,47,-0.625,-0.884,-0.67,-1.057
77,2020,Lithuania,1,0,0,59,-0.612,-1.015,-0.72,0.018
78,2021,Lithuania,1,0,0,148,-0.612,0.051,-0.596,-1.003
79,2022,Lithuania,1,0,0,76,-0.611,-0.823,-0.553,-1.003
80,2020,Luxembourg,1,0,0,35,-0.643,0.141,2.728,1.854
81,2021,Luxembourg,1,0,0,32,-0.643,-0.045,3.328,1.854
82,2022,Luxembourg,1,0,0,33,-0.643,-0.027,3.017,1.854
83,2018,Mexico,0,0,1,4271,1.13,-0.567,-1.086,-1.057
84,2019,Mexico,0,0,1,4820,1.145,-0.43,-1.076,0.144
85,2020,Mexico,0,0,1,5650,1.158,-0.218,-1.131,-0.072
86,2021,Mexico,0,0,1,6148,1.168,-0.094,-1.078,0.072
87,2022,Mexico,0,0,1,6019,1.18,-0.138,-1.038,0.348
88,2020,Netherlands,1,0,0,580,-0.401,-0.607,0.415,1.86
89,2021,Netherlands,1,0,0,583,-0.4,-0.607,0.65,0.684
90,2022,Netherlands,1,0,0,706,-0.398,-0.384,0.589,0.006
91,2020,Norway,1,0,0,294,-0.575,0.112,0.993,2.148
92,2021,Norway,1,0,0,307,-0.574,0.183,1.877,1.818
93,2022,Norway,1,0,0,482,-0.574,1.243,2.436,0.99
94,2020,Poland,1,0,0,1827,-0.107,-0.105,-0.883,-1.189
95,2021,Poland,1,0,0,1806,-0.11,-0.117,-0.803,-1.273
96,2022,Poland,1,0,0,1152,-0.123,-0.673,-0.781,-0.775
97,2020,Portugal,1,0,0,359,-0.504,-0.553,-0.654,0.864
98,2021,Portugal,1,0,0,616,-0.503,0.273,-0.567,0.63
99,2022,Portugal,1,0,0,331,-0.502,-0.656,-0.573,0.708
100,2020,Slovenia,1,0,0,132,-0.622,0.385,-0.535,-0.108
101,2021,Slovenia,1,0,0,138,-0.622,0.475,-0.4,-0.793
102,2022,Slovenia,1,0,0,64,-0.622,-0.706,-0.432,-0.12
103,2020,Spain,1,0,0,3348,0.029,0.651,-0.484,-0.535
104,2021,Spain,1,0,0,4405,0.029,1.397,-0.359,-0.595
105,2022,Spain,1,0,0,3816,0.035,0.959,-0.388,-0.595
106,2020,Sweden,1,0,0,904,-0.503,1.21,0.439,1.2
107,2021,Sweden,1,0,0,1244,-0.502,2.289,0.746,0.978
108,2022,Sweden,1,0,0,1473,-0.501,2.996,0.567,1.302
109,2020,Switzerland,1,0,0,165,-0.528,-1.083,1.62,2.25
110,2021,Switzerland,1,0,0,217,-0.527,-0.887,1.89,2.202
111,2022,Switzerland,1,0,0,186,-0.526,-1.013,1.883,2.202
112,2020,United Kingdom,1,0,0,2196,0.312,-0.625,-0.012,-0.745
113,2021,United Kingdom,1,0,0,1585,0.311,-0.93,0.226,-0.457
114,2022,United Kingdom,1,0,0,1745,0.31,-0.849,0.2,-0.457
115,2020,United States,1,0,0,21585,4.111,0.463,0.821,-0.036
116,2021,United States,1,0,0,13147,4.118,-0.394,1.06,-0.397
117,2022,United States,1,0,0,12183,4.136,-0.496,1.279,-0.967
